,concurrent
0,7533
1,720629
2,8243
3,16071
4,158988
5,3733
6,16399
7,41143
8,549210
9,37475
10,17959
11,61180
12,8086
13,42963
14,9339
15,88222
16,28916
17,16473
18,1003
19,9913
20,52407
21,10697
22,94710
23,0
24,83264
25,3628
26,2693
27,16535
28,40420
29,14461
30,10893
31,18897
32,8319
33,3150
34,2546
35,3572
36,38697
37,6398
38,22425
39,1167
40,52721
41,11942
42,17540
43,45988
44,4597
45,21142
46,6990
47,7920
48,171612
49,4894
50,770
51,275
52,33057
53,1245
54,15962
55,0
56,12560
57,18584
58,1339
59,24566
60,34259
61,1923
62,186
63,8177
64,0
65,7839
66,14160
67,616
68,3293
69,226
70,5967
71,31813
72,5821
73,12019
74,1668
75,1072
76,15177
77,36339
78,0
79,816
80,378
81,376
82,3242
83,2914
84,2769
85,22130
86,7524
87,565
88,7695
89,321
90,17334
91,9832
92,1580
93,17932
94,10614
95,4470
96,0
97,41776
98,79
99,736
100,608
101,4468
102,3817
103,604
104,2977
105,666
106,0
107,1545
108,2673
109,0
110,2956
111,1687
112,3674
113,9180
114,3217
115,14220
116,4093
117,3788
118,4140
119,416
120,17960
121,205
122,1520
123,669
124,3682
125,2183
126,0
127,0
128,7526
129,402
130,630
131,812
132,4644
133,2014
134,534
135,0
136,0
137,2321
138,4494
139,1204
140,2377
141,7764
142,2598
143,1551
144,1858
145,711
146,1862
147,21793
148,2551
149,1636
150,1695
151,691
152,0
153,2070
154,452
155,217
156,909
157,0
158,1171
159,1536
160,5045
161,0
162,24853
163,443
164,5697
165,618
166,119
167,0
168,19842
169,12360
170,3843
171,14878
172,0
173,3355
174,0
175,1676
176,5938
177,968
178,6997
179,1204
180,1683
181,1028
182,311
183,1018
184,1581
185,2725
186,2564
187,1429
188,3352
189,83
190,6766
191,733
192,179
193,759
194,11568
195,2541
196,1532
197,2703
198,87
199,6095
200,6111
201,610
202,1115
203,0
204,0
205,4856
206,1618
207,1212
208,464
209,104
210,818
211,234
212,0
213,98
214,3236
215,621
216,909
217,378
218,1223
219,2039
220,1072
221,786
222,1199
223,1125
224,2113
225,0
226,393
227,741
228,933
229,8002
230,97
231,107
232,216
233,2520
234,6389
235,51
236,1996
237,1564
238,24
239,891
240,755
241,161
242,793
243,442
244,2033
245,574
246,0
247,355
248,726
249,437
250,363
251,4793
252,2645
253,1570
254,231
255,3465
256,41
257,3843
258,774
259,194
260,528
261,396
262,4315
263,2088
264,1536
265,242
266,148
267,1699
268,2077
269,0
270,370
271,2393
272,476
273,871
274,3448
275,141
276,1563
277,4233
278,2815
279,401
280,26
281,472
282,1124
283,103
284,140
285,3524
286,1596
287,2184
288,1293
289,231
290,375
291,134
292,779
293,1761
294,100
295,98
296,152
297,930
298,572
299,2915
300,102
301,491
302,748
303,1641
304,272
305,457
306,89
307,1562
308,62
309,199
310,1516
311,271
312,41
313,283
314,0
315,35
316,2052
317,17
318,1478
319,56
320,156
321,1794
322,30
323,0
324,895
325,509
326,47
327,274
328,11
329,197
330,77
331,270
332,196
333,254
334,881
335,17
336,667
337,458
338,459
339,351
340,54
341,25
342,979
343,1427
344,257
345,92
346,3878
347,4742
348,895
349,2380
350,204
351,4581
352,472
353,250
354,7
355,22
356,932
357,573
358,111
359,439
360,875
361,2233
362,1934
363,266
364,493
365,0
366,1953
367,33
368,751
369,677
370,0
371,308
372,2252
373,1051
374,557
375,10389
376,0
377,260
378,176
379,455
380,257
381,412
382,694
383,712
384,1302
385,26
386,809
387,1853
388,144
389,368
390,43
391,2044
392,125
393,7030
394,890
395,176
396,1038
397,17055
398,675
399,115
400,19
401,133
402,563
403,654
404,54
405,1570
406,257
407,390
408,307
409,144
410,599
411,696
412,622
413,2
414,468
415,432
416,391
417,2426
418,343
419,4765
420,202
421,1220
422,0
423,24
424,137
425,317
426,43
427,91
