,url,name,developer,publisher,month,year,total_reviews,percent_positive,prices,sameDevPub,esrb,appid,onlinePVP,singlePlayer,onlineCoop,tradingCards,microtransactions,crossPlatform,mmo,account,achievement,remotePlay,controller,agreement,cloud,hasPegi,total_reviews30,percent_positive30,concurrent
0,https://store.steampowered.com/app/945360/Among_Us,Among Us,Innersloth,Innersloth,Nov,2018,224878,0.95,4.99,1,n,945360,1,0,1,0,0,1,0,0,0,1,0,0,0,0,151281,0.96,7533
1,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,Aug,2012,4843904,0.87,0.0,1,n,730,0,0,0,1,1,0,0,0,1,1,1,0,0,0,90780,0.88,720629
2,https://store.steampowered.com/app/1097150/Fall_Guys_Ultimate_Knockout,Fall Guys: Ultimate Knockout,Mediatonic,Devolver Digital,Aug,2020,223706,0.8,19.99,0,n,1097150,1,0,1,0,1,0,1,0,1,1,1,0,0,0,32436,0.84,8243
3,https://store.steampowered.com/app/1158310/Crusader_Kings_III,Crusader Kings III,Paradox Development Studio,Paradox Interactive,Sep,2020,18951,0.92,49.99,0,m,1158310,1,1,0,1,0,0,0,0,1,0,0,0,1,1,5359,0.91,16071
4,https://store.steampowered.com/app/1085660/Destiny_2,Destiny 2,Bungie,Bungie ,Oct,2019,284689,0.86,0.0,0,t,1085660,1,1,1,0,1,0,0,0,1,1,1,1,0,1,9147,0.87,158988
5,https://store.steampowered.com/app/1145360/Hades,Hades,Supergiant Games,Supergiant Games,Sep,2020,41779,0.98,24.99,1,n,1145360,0,1,0,1,0,0,0,0,0,1,1,0,1,0,17940,0.98,3733
6,https://store.steampowered.com/app/1172620/Sea_of_Thieves,Sea of Thieves,Rare Ltd,Xbox Game Studios,Jun,2020,37159,0.87,39.99,0,t,1172620,1,0,1,1,1,1,0,1,1,1,0,0,0,1,4703,0.88,16399
7,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege,Tom Clancy's Rainbow Six® Siege,Ubisoft Montreal,Ubisoft,Dec,2015,642433,0.88,19.99,1,m,359550,1,1,1,1,1,0,0,1,0,1,0,1,0,1,14261,0.89,41143
8,https://store.steampowered.com/app/570/Dota_2,Dota 2,Valve,Valve,Jul,2013,1380115,0.84,0.0,1,n,570,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14202,0.79,549210
9,https://store.steampowered.com/app/230410/Warframe,Warframe,Digital Extremes,Digital Extremes,Mar,2013,385519,0.91,0.0,1,m,230410,0,1,0,1,1,0,0,1,0,1,0,0,0,1,6342,0.85,37475
10,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online,The Elder Scrolls® Online,Zenimax Online Studios,Bethesda Softworks,Apr,2014,69515,0.82,19.99,0,m,306130,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1806,0.86,17959
11,https://store.steampowered.com/app/238960/Path_of_Exile,Path of Exile,Grinding Gear Games,Grinding Gear Games,Oct,2013,143686,0.93,0.0,1,n,238960,1,1,0,1,1,0,1,0,1,1,0,1,0,0,2976,0.91,61180
12,https://store.steampowered.com/app/397540/Borderlands_3,Borderlands 3,Gearbox Software,2K,Mar,2020,39697,0.82,59.99,0,m,397540,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1791,0.85,8086
